beta,immune_effect_on_progression_to_clinical,max_clinical_probability,midpoint,mean_pfpr,mean_eir,mean_population,total_clinical_episodes,avg_clinical_episodes_per_1000,mean_immunity_all,mean_immunity_under5,mean_immunity_2to10
0.15,15,0.95,0.2,9.08223562808183,5.846765674204485,60960.25,35404,580.7718964407134,0.23862238883440057,0.10369055616749488,0.18661524577015612
0.15,15,0.99,0.02,10.808000285904994,6.652470177175279,62300.25,6102,97.94503232330528,0.30504356473994754,0.16482131717429518,0.270337774068321
0.15,15,0.99,0.05,10.114867381461869,6.25917053595271,61724.666666666664,12082,195.74022270945164,0.28618409961704894,0.14777592249229224,0.24594237450586398
0.15,15,0.99,0.1,9.459177864538995,6.1335922649266665,61200.666666666664,20144,329.1467413209007,0.2676244945558993,0.12604422127160753,0.2211815026680998
0.15,15,0.99,0.2,9.052318155066414,5.950943448909581,60890.666666666664,37962,623.445300867128,0.23664842393091548,0.10124022269207948,0.1806651420326204
0.2,5,0.9,0.02,12.768168805842338,10.102984574328532,62320.083333333336,4033,64.71429087199017,0.3642959227747895,0.20305012381201445,0.3292870317030622
0.2,5,0.9,0.05,12.714545494656685,9.810453968555878,61861.416666666664,8871,143.40117763226138,0.3551052497632196,0.18725126402637604,0.31427055626282346
0.2,5,0.9,0.1,12.11410678117167,9.35481503166755,61341.666666666664,17097,278.71756554815926,0.3356873217482956,0.1640821826809087,0.2909402667266589
0.2,5,0.9,0.2,11.551616487891373,9.230809916101306,60543.583333333336,36425,601.6327081179811,0.3070851163967662,0.13779755412940017,0.2495695687224917
0.2,5,0.95,0.02,13.14183089672698,9.939485824827374,61964.916666666664,4661,75.21998335079394,0.3643449510304028,0.19861082389518525,0.3279032829182905
0.2,5,0.95,0.05,12.288803895384058,9.888967307486919,61727.666666666664,9083,147.14633632676865,0.35459619473101145,0.18485448669270252,0.3123200466459548
0.2,5,0.95,0.1,12.043142097932858,9.061048043885677,61156.916666666664,18862,308.4197344808369,0.3329437321903505,0.1603225268912378,0.28306363825236375
